"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863243","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863243_1.fastq.gz",,"SRR11863243"
"SRR11863244","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863244_1.fastq.gz",,"SRR11863244"
"SRR11863245","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863245_1.fastq.gz",,"SRR11863245"
"SRR11863246","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863246_1.fastq.gz",,"SRR11863246"
"SRR11863247","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863247_1.fastq.gz",,"SRR11863247"
"SRR11863248","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863248_1.fastq.gz",,"SRR11863248"
"SRR11863249","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863249_1.fastq.gz",,"SRR11863249"
"SRR11863250","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863250_1.fastq.gz",,"SRR11863250"
"SRR11863251","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863251_1.fastq.gz",,"SRR11863251"
"SRR11863252","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863252_1.fastq.gz",,"SRR11863252"
"SRR11863253","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863253_1.fastq.gz",,"SRR11863253"
"SRR11863254","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863254_1.fastq.gz",,"SRR11863254"
"SRR11863255","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863255_1.fastq.gz",,"SRR11863255"
"SRR11863256","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863256_1.fastq.gz",,"SRR11863256"
"SRR11863257","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863257_1.fastq.gz",,"SRR11863257"
"SRR11863258","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863258_1.fastq.gz",,"SRR11863258"
"SRR11863259","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863259_1.fastq.gz",,"SRR11863259"
"SRR11863260","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863260_1.fastq.gz",,"SRR11863260"
"SRR11863261","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863261_1.fastq.gz",,"SRR11863261"
